,Date,Network,Impressions,Engagements,Engagement Rate,Post ID
5,1/31/2020 13:48,Facebook,29,0.0,0.0,82777273087_10157964614048088
25,3/19/2020 8:32,Facebook,1733,0.0,0.0,82777273087_10158108398363088
42,11/5/2020 15:00,Facebook,1122,0.0,0.0,82777273087_10158785186668088
54,4/1/2020 17:53,Facebook,1191,11.0,0.009235936188077247,82777273087_10158160206033088
55,4/15/2020 15:54,Facebook,1771,36.0,0.020327498588368152,82777273087_10158209100833088
57,4/11/2020 15:13,Facebook,1628,1.0,0.0006142506142506142,82777273087_10158194321588088
59,5/28/2020 11:12,Facebook,3002,35.0,0.011658894070619586,82777273087_10158357402778088
60,4/12/2020 9:09,Facebook,1910,14.0,0.007329842931937173,82777273087_10158197007068088
61,5/6/2020 17:03,Facebook,1480,25.0,0.016891891891891893,82777273087_10158288787093088
62,4/23/2020 10:26,Facebook,1203,17.0,0.014131338320864505,82777273087_10158239422978088
71,3/14/2020 11:29,Facebook,1863,35.0,0.01878690284487386,82777273087_10158091395183088
73,4/16/2020 10:50,Facebook,1315,22.0,0.016730038022813688,82777273087_10158211792758088
76,3/18/2020 17:10,Facebook,1779,33.0,0.01854974704890388,82777273087_10158106154178088
78,3/4/2020 11:13,Facebook,1535,22.0,0.014332247557003257,82777273087_10158061977763088
81,9/18/2020 10:36,Facebook,1443,3.0,0.002079002079002079,82777273087_10158670878748088
83,7/28/2020 11:42,Facebook,1679,3.0,0.001786777843954735,82777273087_10158539440313088
88,4/30/2020 14:27,Facebook,1368,2.0,0.0014619883040935672,82777273087_10158267217778088
90,3/20/2020 8:14,Facebook,2527,26.0,0.010288880094974277,82777273087_10158112240048088
92,4/4/2020 15:10,Facebook,2134,3.0,0.0014058106841611997,82777273087_10158169930578088
103,4/30/2020 16:56,Facebook,2068,40.0,0.019342359767891684,82777273087_10158267650413088
107,3/25/2020 17:12,Facebook,1726,37.0,0.021436848203939745,82777273087_10158133787903088
109,3/8/2020 10:53,Facebook,2555,24.0,0.00939334637964775,82777273087_10158073296178088
114,8/26/2020 11:46,Facebook,3030,27.0,0.00891089108910891,82777273087_10158612101663088
122,3/28/2020 11:09,Facebook,1998,3.0,0.0015015015015015015,82777273087_10158144315053088
123,5/15/2020 10:58,Facebook,2590,38.0,0.014671814671814672,82777273087_10158317205338088
125,5/7/2020 17:19,Facebook,1742,35.0,0.020091848450057407,82777273087_10158292333133088
128,9/2/2020 11:47,Facebook,2730,39.0,0.014285714285714285,82777273087_10158630179603088
132,12/29/2020 6:34,Facebook,1306,5.0,0.0038284839203675345,82777273087_10158907455348088
133,7/27/2020 9:06,Facebook,3172,41.0,0.012925598991172762,82777273087_10158536319948088
136,3/22/2020 4:51,Facebook,2145,4.0,0.0018648018648018648,82777273087_10158119495503088
138,11/13/2020 16:52,Facebook,1282,5.0,0.0039001560062402497,82777273087_10158803999973088
140,12/26/2020 21:01,Facebook,1706,4.0,0.0023446658851113715,82777273087_10158902590753088
146,3/15/2020 7:58,Facebook,2080,4.0,0.0019230769230769232,82777273087_10158094060368088
147,1/27/2020 10:01,Facebook,878,16.0,0.018223234624145785,82777273087_10157948420318088
148,10/21/2020 18:55,Facebook,1437,1.0,0.0006958942240779402,82777273087_10158750174668088
149,8/4/2020 11:12,Facebook,2052,5.0,0.0024366471734892786,82777273087_10158557889683088
150,12/30/2020 13:16,Facebook,816,3.0,0.003676470588235294,82777273087_10158910711978088
151,3/24/2020 11:15,Facebook,2028,4.0,0.0019723865877712033,82777273087_10158128722883088
152,6/8/2020 18:16,Facebook,2610,25.0,0.009578544061302681,82777273087_10158393109268088
154,2/7/2020 15:28,Facebook,1690,31.0,0.018343195266272188,82777273087_10157985999808088
155,3/9/2020 11:05,Facebook,1757,16.0,0.00910643141718839,82777273087_10158076284148088
160,3/7/2020 12:23,Facebook,1777,3.0,0.0016882386043894203,82777273087_10158070535438088
161,2/13/2020 9:34,Facebook,1766,21.0,0.01189127972819932,82777273087_10158003070143088
175,4/13/2020 22:02,Facebook,1709,5.0,0.002925687536571094,82777273087_10158202989238088
185,4/28/2020 11:18,Facebook,1631,4.0,0.002452483139178418,82777273087_10158259354703088
190,4/1/2020 10:47,Facebook,2215,48.0,0.02167042889390519,82777273087_10158158996938088
192,11/1/2020 9:22,Facebook,1604,5.0,0.003117206982543641,82777273087_10158775655283088
201,11/5/2020 14:33,Facebook,1361,6.0,0.00440852314474651,82777273087_10158785142918088
202,3/23/2020 11:09,Facebook,2037,2.0,0.0009818360333824251,82777273087_10158124789828088
208,1/14/2020 10:08,Facebook,1938,29.0,0.014963880288957688,82777273087_10157910245228088
209,2/21/2020 7:06,Facebook,1410,25.0,0.01773049645390071,82777273087_10158026497813088
212,3/3/2020 18:46,Facebook,1787,17.0,0.009513150531617236,82777273087_10158060121203088
215,10/18/2020 10:40,Facebook,1627,6.0,0.0036877688998156115,82777273087_10158742576913088
217,1/18/2020 10:08,Facebook,1930,6.0,0.0031088082901554403,82777273087_10157922060848088
218,11/13/2020 16:56,Facebook,1441,8.0,0.005551700208188758,82777273087_10158804003958088
219,8/31/2020 14:22,Facebook,1759,7.0,0.003979533826037522,82777273087_10158625346453088
221,10/24/2020 18:22,Facebook,1435,3.0,0.0020905923344947735,82777273087_10158757095163088
224,12/11/2020 14:51,Facebook,945,4.0,0.004232804232804233,82777273087_10158866938998088
226,12/19/2020 14:42,Facebook,1250,4.0,0.0032,82777273087_10158885203093088
229,12/1/2020 14:47,Facebook,1240,2.0,0.0016129032258064516,82777273087_10158843751963088
231,10/27/2020 16:12,Facebook,463,2.0,0.004319654427645789,82777273087_10158763813538088
234,4/26/2020 18:27,Facebook,1524,2.0,0.0013123359580052493,82777273087_10158253365033088
236,1/19/2020 10:22,Facebook,1979,6.0,0.003031834259727135,82777273087_10157924967273088
239,3/3/2020 15:58,Facebook,1501,3.0,0.001998667554963358,82777273087_10158059762988088
241,11/2/2020 11:50,Facebook,1195,6.0,0.00502092050209205,82777273087_10158778096573088
243,12/21/2020 14:10,Facebook,1487,7.0,0.004707464694014795,82777273087_10158890178278088
