,Date,Network,Impressions,Engagements,Engagement Rate,Post ID
5,2020-01-31 13:48:00,Facebook,29,0.0,0.0,82777273087_10157964614048088
25,2020-03-19 08:32:00,Facebook,1733,0.0,0.0,82777273087_10158108398363088
42,2020-11-05 15:00:00,Facebook,1122,0.0,0.0,82777273087_10158785186668088
54,2020-04-01 17:53:00,Facebook,1191,11.0,0.009235936188077247,82777273087_10158160206033088
55,2020-04-15 15:54:00,Facebook,1771,36.0,0.020327498588368152,82777273087_10158209100833088
57,2020-04-11 15:13:00,Facebook,1628,1.0,0.0006142506142506142,82777273087_10158194321588088
59,2020-05-28 11:12:00,Facebook,3002,35.0,0.011658894070619586,82777273087_10158357402778088
60,2020-04-12 09:09:00,Facebook,1910,14.0,0.007329842931937173,82777273087_10158197007068088
61,2020-05-06 17:03:00,Facebook,1480,25.0,0.016891891891891893,82777273087_10158288787093088
62,2020-04-23 10:26:00,Facebook,1203,17.0,0.014131338320864505,82777273087_10158239422978088
71,2020-03-14 11:29:00,Facebook,1863,35.0,0.01878690284487386,82777273087_10158091395183088
73,2020-04-16 10:50:00,Facebook,1315,22.0,0.016730038022813688,82777273087_10158211792758088
76,2020-03-18 17:10:00,Facebook,1779,33.0,0.01854974704890388,82777273087_10158106154178088
78,2020-03-04 11:13:00,Facebook,1535,22.0,0.014332247557003257,82777273087_10158061977763088
81,2020-09-18 10:36:00,Facebook,1443,3.0,0.002079002079002079,82777273087_10158670878748088
83,2020-07-28 11:42:00,Facebook,1679,3.0,0.001786777843954735,82777273087_10158539440313088
88,2020-04-30 14:27:00,Facebook,1368,2.0,0.0014619883040935672,82777273087_10158267217778088
90,2020-03-20 08:14:00,Facebook,2527,26.0,0.010288880094974277,82777273087_10158112240048088
92,2020-04-04 15:10:00,Facebook,2134,3.0,0.0014058106841611997,82777273087_10158169930578088
103,2020-04-30 16:56:00,Facebook,2068,40.0,0.019342359767891684,82777273087_10158267650413088
107,2020-03-25 17:12:00,Facebook,1726,37.0,0.021436848203939745,82777273087_10158133787903088
109,2020-03-08 10:53:00,Facebook,2555,24.0,0.00939334637964775,82777273087_10158073296178088
114,2020-08-26 11:46:00,Facebook,3030,27.0,0.00891089108910891,82777273087_10158612101663088
122,2020-03-28 11:09:00,Facebook,1998,3.0,0.0015015015015015015,82777273087_10158144315053088
123,2020-05-15 10:58:00,Facebook,2590,38.0,0.014671814671814672,82777273087_10158317205338088
125,2020-05-07 17:19:00,Facebook,1742,35.0,0.020091848450057407,82777273087_10158292333133088
128,2020-09-02 11:47:00,Facebook,2730,39.0,0.014285714285714285,82777273087_10158630179603088
132,2020-12-29 06:34:00,Facebook,1306,5.0,0.0038284839203675345,82777273087_10158907455348088
133,2020-07-27 09:06:00,Facebook,3172,41.0,0.012925598991172762,82777273087_10158536319948088
136,2020-03-22 04:51:00,Facebook,2145,4.0,0.0018648018648018648,82777273087_10158119495503088
138,2020-11-13 16:52:00,Facebook,1282,5.0,0.0039001560062402497,82777273087_10158803999973088
140,2020-12-26 21:01:00,Facebook,1706,4.0,0.0023446658851113715,82777273087_10158902590753088
146,2020-03-15 07:58:00,Facebook,2080,4.0,0.0019230769230769232,82777273087_10158094060368088
147,2020-01-27 10:01:00,Facebook,878,16.0,0.018223234624145785,82777273087_10157948420318088
148,2020-10-21 18:55:00,Facebook,1437,1.0,0.0006958942240779402,82777273087_10158750174668088
149,2020-08-04 11:12:00,Facebook,2052,5.0,0.0024366471734892786,82777273087_10158557889683088
150,2020-12-30 13:16:00,Facebook,816,3.0,0.003676470588235294,82777273087_10158910711978088
151,2020-03-24 11:15:00,Facebook,2028,4.0,0.0019723865877712033,82777273087_10158128722883088
152,2020-06-08 18:16:00,Facebook,2610,25.0,0.009578544061302681,82777273087_10158393109268088
154,2020-02-07 15:28:00,Facebook,1690,31.0,0.018343195266272188,82777273087_10157985999808088
155,2020-03-09 11:05:00,Facebook,1757,16.0,0.00910643141718839,82777273087_10158076284148088
160,2020-03-07 12:23:00,Facebook,1777,3.0,0.0016882386043894203,82777273087_10158070535438088
161,2020-02-13 09:34:00,Facebook,1766,21.0,0.01189127972819932,82777273087_10158003070143088
175,2020-04-13 22:02:00,Facebook,1709,5.0,0.002925687536571094,82777273087_10158202989238088
185,2020-04-28 11:18:00,Facebook,1631,4.0,0.002452483139178418,82777273087_10158259354703088
