Date,Post ID,Network,Post Type,Content Type,Profile,Sent by,Link,Post,Linked Content,Impressions,Organic Impressions,Paid Impressions,Reach,Organic Reach,Paid Reach,Potential Reach,Engagement Rate (per Impression),Engagements,Reactions,Likes,Love Reactions,Haha Reactions,Wow Reactions,Sad Reactions,Angry Reactions,Comments,Shares,Saves,Post Link Clicks,Other Post Clicks,Post Clicks (All),Other Engagements,Negative Feedback,Video Views,Organic Video Views,Paid Video Views,Partial Video Views,Organic Partial Video Views,Paid Partial Video Views,Full Video Views,Organic Full Video Views,Paid Full Video Views,Story Taps Back,Story Taps Forward,Story Exits,Tags
5/11/2020 8:53 am PDT,6665639902232879104,LinkedIn,Post,Link,Academy of Art University, ,https://linkedin.com/feed/update/urn:li:activity:6665639902920740865,Learn more about our online and virtual onsite classes.,https://getstarted.academyart.edu/application/learn-online-onsite/accredited-programs/,72,,,,,,,-15.3%,-11,-11,-11,,,,,,0,0,,0,,0,,,,,,,,,,,,,,,"Online Education, summer start"
5/11/2020 8:52 am PDT,6665639836776562688,LinkedIn,Post,Link,Academy of Art University, ,https://linkedin.com/feed/update/urn:li:activity:6665639837451845632,Learn more about our online and virtual onsite classes.,https://getstarted.academyart.edu/application/learn-online-onsite/accredited-programs/,68,,,,,,,-14.7%,-10,-9,-9,,,,,,0,-1,,0,,0,,,,,,,,,,,,,,,"Online Education, summer start"
5/29/2020 10:19 am PDT,1266418782920196097,Twitter,Tweet,Link,academy_of_art,Tiffany Liao,https://twitter.com/academy_of_art/status/1266418782920196097,PaperMag and @CFDA just named @AcademyUFashion’s Kenneth Brody McCasland as one of the five fashion school grads you need to know! Read more about his collection inspired by lucid dreams: https://t.co/rZMptoXNzd,https://bit.ly/2X80GYS,243,,,,,,,0%,0,0,0,,,,,,0,0,,0,0,0,0,,,,,,,,,,,,,,"FSH, Student success"
5/4/2020 9:56 pm PDT,1257534488323723265,Twitter,Tweet,Link,academy_of_art,Tiffany Liao,https://twitter.com/academy_of_art/status/1257534488323723265,Don't miss the 3D draping workshop tomorrow with @academyufashion's associate director Rob Curry! Learn how to create beautiful silhouettes with fabrics and shadows tomorrow at 7PM (PDT): https://t.co/cR1EvLnUmC,https://bit.ly/35wpvjI,"1,274",,,,,,"18,565",0%,0,0,0,,,,,,0,0,,0,0,0,0,,,,,,,,,,,,,,"FSH, Faculty, workshop"
4/3/2020 1:36 pm PDT,1246174636712308738,Twitter,Tweet,Link,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1246174636712308738,Congratulations 👏 to #ArtU’s @AAULandArch student and alumna who were recognized in the 2020 AIA Awards for making a difference in the Bay Area. https://t.co/iTqPXljEPm,https://bit.ly/2WcAlsu,852,,,,,,"18,561",0%,0,0,0,,,,,,0,0,,0,0,0,0,,,,,,,,,,,,,,"LAN, Student success, alumni success, blog"
1/31/2020 1:48 pm PST,82777273087_10157964614048088,Facebook,Post,Video,Academy of Art University, ,https://www.facebook.com/82777273087/posts/10157964614048088/,Walking into the first week of class and knowing you're going to knock this term out! #FridayFeeling,https://www.facebook.com/AcademyofArtUniversity/videos/636283910534264/,29,29,0,28,28,0,,0%,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,4,4,0,0,0,0,4,4,0,,,,
1/4/2020 5:40 pm PST,1213636231487205377,Twitter,Tweet,Link,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1213636231487205377,"Being a standout photographer is more than just taking a 📷

Learn how to capture your unique perspective and get started in the competitive world of photography with our industry guide: https://t.co/s796N29U0L",https://bit.ly/36Ufgp2,"2,111",,,,,,"19,501",0%,1,1,1,,,,,,0,0,,0,0,0,0,,,,,,,,,,,,,,"Industry Spotlight, PH, blog"
3/7/2020 10:52 pm PST,1236545184940392448,Twitter,Tweet,Link,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1236545184940392448,"Weekend Read – It’s Awards Season in the Entertainment Arts

Get caught up on the latest award ceremonies, winners, and why they matter: https://t.co/XUcDBXvZlX",https://bit.ly/2SLcvlO,"1,989",,,,,,"18,582",0.1%,1,1,1,,,,,,0,0,,0,0,0,0,,,,,,,,,,,,,,"Industry Spotlight, art bundle, blog, entertainment arts"
2/29/2020 10:25 am PST,1233820485558951936,Twitter,Tweet,Text,academy_of_art,Tiffany Liao,https://twitter.com/academy_of_art/status/1233820485558951936,It's Saturday! ☀️What's your favorite art and design activity to do on the weekends?,,"1,527",,,,,,"18,554",0.1%,1,0,0,,,,,,0,0,,,1,1,0,,,,,,,,,,,,,,
4/16/2020 10:10 am PDT,1250833861916884996,Twitter,Tweet,Photo,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1250833861916884996,"What does the earth mean to you? Tag us and use #ArtUGoGreen to share your best sustainable project and potentially win a prize. Submit by April 17 and winners will be announced on #EarthDay, April 22. https://t.co/w8uXkKiP5U https://t.co/EOXayjNGKk","https://bit.ly/3dOuMqO, https://twitter.com/academy_of_art/status/1250833861916884996/photo/1","1,254",,,,,,"18,539",0.1%,1,0,0,,,,,,0,0,,0,1,1,0,,,,,,,,,,,,,,
2/22/2020 5:41 pm PST,1231393488228536325,Twitter,Tweet,Link,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1231393488228536325,How are films chosen for the #SundanceFilmFestival? Learn more about this important award festival here: https://t.co/cJsPu7Xs8b,https://bit.ly/2Oxedof,"1,253",,,,,,"18,561",0.1%,1,0,0,,,,,,0,0,,0,1,1,0,,,,,,,,,,,,,,"Industry Spotlight, MPTV, blog"
4/15/2020 4:20 pm PDT,1250564619376230403,Twitter,Tweet,Video,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1250564619376230403,"This episode of #CreativeMind is with Game Development UI/UX Lead Greg Eichholzer!!

Greg has  developed a lot of interfaces, he is going to share some great tips and tricks to help you develop a good UI/UX for your games! Listen in now: https://t.co/0nBizZEXlu https://t.co/rS8wmf54J0","https://bit.ly/2vuWkQR, https://twitter.com/academy_of_art/status/1250564619376230403/video/1","1,206",,,,,,"18,539",0.1%,1,0,0,,,,,,0,0,,0,1,1,0,,64,,,,,,,,,,,,"GAM, creative mind, faculty success"
4/13/2020 10:15 pm PDT,1249929128415019009,Twitter,Tweet,Photo,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1249929128415019009,"What does the earth mean to you? Tag us and use #ArtUGoGreen to share your best sustainable project and potentially win a prize. Submit by April 17 and winners will be announced on #EarthDay, April 22. https://t.co/w8uXkKiP5U https://t.co/1Y4jwoIbnL","https://bit.ly/3dOuMqO, https://twitter.com/academy_of_art/status/1249929128415019009/photo/1","1,191",,,,,,"18,547",0.1%,1,0,0,,,,,,0,0,,0,1,1,0,,,,,,,,,,,,,,contest
